arm,ngram,term,delta,z,freq_in_arm
T1_MI_CHANGE,1,present,1.772553366760949,32.468197194455165,913.0
T1_MI_CHANGE,1,zero,1.2643209562802156,31.863660189968503,1291.0
T1_MI_CHANGE,1,confidence,2.0111170476258025,31.422398518405295,778.0
T1_MI_CHANGE,1,decided,1.381667772459311,30.934176869388597,1084.0
T1_MI_CHANGE,1,doable,2.4845333733210726,30.628212911890373,686.0
T1_MI_CHANGE,1,lower,1.1985160929066403,30.480149279386964,1272.0
T1_MI_CHANGE,1,typical,1.6859184984214632,30.06328758217765,820.0
T1_MI_CHANGE,1,realistic,1.7451273835840695,29.6238380387683,771.0
T1_MI_CHANGE,1,successfully,2.0847704230766197,29.458728712683484,670.0
T1_MI_CHANGE,1,confident,0.7241999815203446,28.884947580957913,2542.0
T1_MI_CHANGE,1,best,3.184373806784164,28.585355020292155,651.0
T1_MI_CHANGE,1,ideas,1.807054511081418,27.54844031879256,647.0
T1_MI_CHANGE,1,yourself,1.1532391941892008,26.180886619633508,992.0
T1_MI_CHANGE,1,difficult,1.8322379083566087,25.494961200158752,548.0
T1_MI_CHANGE,1,line,4.248336757479445,24.886538839696456,738.0
T1_MI_CHANGE,1,leaves,1.540506123467205,24.47016461472304,597.0
T1_MI_CHANGE,1,different,1.7443230404321015,24.24421287413464,517.0
T1_MI_CHANGE,1,notice,0.8558863315381817,23.918164807683983,1316.0
T1_MI_CHANGE,1,productive,1.5409061332258869,23.765530002828495,563.0
T1_MI_CHANGE,1,habit,1.1317519997674008,23.67658460351863,834.0
T1_MI_CHANGE,1,changing,2.2903062629627424,23.346908996293063,405.0
T1_MI_CHANGE,1,away,0.9594392698117956,22.942322959011687,1007.0
T1_MI_CHANGE,1,changed,1.3429467617010715,22.74018673003272,608.0
T1_MI_CHANGE,1,effects,3.110388280530735,21.988881979233536,379.0
T1_MI_CHANGE,1,imagine,1.1797516055411048,21.89554223607322,672.0
T1_MI_CHANGE,1,wanting,1.8381442042139715,21.750625667786533,398.0
T1_MI_CHANGE,1,match,3.223230744488763,21.718003837814052,380.0
T1_MI_CHANGE,1,first,0.8044519486523516,21.707247654415937,1202.0
T1_MI_CHANGE,1,mind,0.927416230736613,21.66507217608937,948.0
T1_MI_CHANGE,1,pulls,1.4120934727880083,21.30208226768374,501.0
T1_MI_CHANGE,1,strengths,4.92936505392224,21.229802839077088,770.0
T1_MI_CHANGE,1,talk,1.0669544699843725,21.186473536607185,729.0
T1_MI_CHANGE,1,matter,1.0585866982042162,21.04637958034868,728.0
T1_MI_CHANGE,1,downsides,1.0420638197436958,20.981394760917663,741.0
